"1/K","F(K)","G(K)","X1R(K)","X2R(K)","X1I(K)","X2I(K)"
1.234857,.724285680951911,-.188497010277517,1.36910438424709,1.0457500927923,1.1480119388653,1.1480119388653
1.236386,.723511955491427,-.188461479835551,1.36910354770887,1.04585052149637,1.14803387771162,1.14803387771162
1.237918,.722742146314609,-.188423991171064,1.36910272035032,1.04595133048527,1.14805590260242,1.14805590260242
1.239454,.721976228602199,-.188384573882726,1.36910190227951,1.04605252165444,1.14807801383667,1.14807801383667
1.240993,.721214177701323,-.188343257134455,1.36910109360554,1.04615409691092,1.1481002117145,1.1481002117145
1.242537,.720455969124799,-.188300069662507,1.36910029443865,1.04625605817346,1.1481224965372,1.1481224965372
1.244084,.71970157855042,-.188255039782437,1.36909950489018,1.0463584073726,1.14814486860723,1.14814486860723
1.245635,.718950981820233,-.188208195395929,1.36909872507261,1.04646114645074,1.14816732822822,1.14816732822822
1.24719,.718204154939797,-.188159563997502,1.36909795509954,1.04656427736223,1.14818987570501,1.14818987570501
1.248749,.717461074077432,-.188109172681086,1.36909719508573,1.04666780207346,1.14821251134358,1.14821251134358
1.250312,.716721715563456,-.188057048146491,1.3690964451471,1.04677172256295,1.14823523545114,1.14823523545114
1.251879,.71598605588941,-.18800321670574,1.36909570540076,1.04687604082144,1.14825804833607,1.14825804833607
1.25345,.715254071707272,-.187947704289299,1.36909497596498,1.04698075885197,1.14828095030797,1.14828095030797
1.255024,.714525739828665,-.18789053645219,1.36909425695927,1.04708587866997,1.14830394167763,1.14830394167763
1.256603,.713801037224049,-.187831738379992,1.36909354850431,1.04719140230335,1.14832702275707,1.14832702275707
1.258186,.713079941021912,-.187771334894733,1.36909285072204,1.0472973317926,1.1483501938595,1.1483501938595
1.259772,.712362428507943,-.187709350460675,1.36909216373564,1.04740366919088,1.14837345529936,1.14837345529936
1.261363,.711648477124211,-.18764580919,1.36909148766954,1.04751041656409,1.14839680739234,1.14839680739234
1.262958,.710938064468324,-.187580734848384,1.36909082264942,1.04761757599099,1.14842025045534,1.14842025045534
1.264556,.710231168292586,-.187514150860483,1.36909016880228,1.04772514956329,1.14844378480649,1.14844378480649
1.266159,.709527766503151,-.187446080315307,1.36908952625638,1.04783313938574,1.14846741076517,1.14846741076517
1.267766,.708827837159169,-.187376545971515,1.36908889514131,1.0479415475762,1.14849112865202,1.14849112865202
1.269377,.708131358471923,-.187305570262598,1.369088275588,1.04805037626578,1.14851493878892,1.14851493878892
1.270992,.707438308803967,-.187233175301982,1.36908766772869,1.04815962759893,1.14853884149901,1.14853884149901
1.272611,.706748666668259,-.187159382888038,1.36908707169698,1.04826930373349,1.14856283710668,1.14856283710668
1.274234,.706062410727284,-.187084214509001,1.36908648762788,1.04837940684086,1.14858692593763,1.14858692593763
1.275861,.705379519792182,-.187007691347805,1.36908591565772,1.04848993910603,1.14861110831878,1.14861110831878
1.277493,.704699972821864,-.18692983428683,1.36908535592429,1.04860090272774,1.14863538457836,1.14863538457836
1.279129,.704023748922135,-.18685066391257,1.36908480856677,1.04871229991853,1.1486597550459,1.1486597550459
1.280769,.703350827344803,-.186770200520216,1.36908427372576,1.04882413290489,1.14868422005218,1.14868422005218
1.282413,.702681187486797,-.18668846411816,1.36908375154333,1.04893640392732,1.14870877992931,1.14870877992931
1.284061,.702014808889274,-.18660547443242,1.36908324216301,1.04904911524046,1.14873343501068,1.14873343501068
1.285714,.70135167123673,-.186521250910991,1.36908274572981,1.04916226911319,1.148758185631,1.148758185631
1.28737,.700691754356109,-.186435812728116,1.36908226239022,1.04927586782872,1.14878303212629,1.14878303212629
1.289032,.700035038215907,-.186349178788487,1.36908179229227,1.04938991368472,1.14880797483388,1.14880797483388
1.290697,.699381502925283,-.186261367731373,1.3690813355855,1.04950440899341,1.14883301409244,1.14883301409244
